country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,primary_energy_consumption
ITA,Italy,1995,6.518424987792969,64.07221984863281,24.023305892944336,0.0,5.386047840118408,4.855031490325928,0.0016705151647329,0.0011097828391939,0.0,2167.4765625
ITA,Italy,1996,5.975386619567871,63.350399017333984,24.690847396850582,0.0,5.9833664894104,5.381427764892578,0.0017922305269166,0.0040538543835282,0.0,2176.34521484375
ITA,Italy,1997,6.003474235534668,62.68105697631836,25.38724899291992,0.0,5.928221225738525,5.273882389068604,0.0019015030702576,0.0149584915488958,0.0,2197.643798828125
ITA,Italy,1998,6.2192816734313965,60.5449333190918,27.27701187133789,0.0,5.958775997161865,5.214531898498535,0.0020240782760083,0.0293491333723068,0.0,2202.060302734375
ITA,Italy,1999,6.176952362060547,57.79460525512695,29.48541641235352,0.0,6.543027400970459,5.707476139068604,0.0021388095337897,0.0507023632526397,0.0,2214.88916015625
ITA,Italy,2000,6.954529285430908,53.76631927490234,32.42633056640625,0.0,6.852819919586182,5.865234375,0.0023885569535195,0.0747087523341178,0.0,2100.080322265625
ITA,Italy,2001,7.403539657592773,52.726829528808594,32.574668884277344,0.0,7.294962882995605,6.18868350982666,0.0025119089987128,0.155870571732521,0.0,2096.657470703125
ITA,Italy,2002,7.620124816894531,53.66602325439453,32.261260986328125,0.0,6.452591419219971,5.166891098022461,0.002745633944869,0.1835652440786361,0.0,2101.48583984375
ITA,Italy,2003,7.958521842956543,51.55489730834961,34.427001953125,0.0,6.059579372406006,4.615241050720215,0.0030206104274839,0.1835020780563354,0.0,2170.0517578125
ITA,Italy,2004,8.699203491210938,49.549312591552734,34.85844421386719,0.0,6.893043041229248,5.171274185180664,0.0035421357024461,0.225597396492958,0.1324825882911682,2224.656005859375
ITA,Italy,2005,8.635849952697754,47.88447570800781,37.31907272338867,0.0,6.1606035232543945,4.371468544006348,0.0037573270965367,0.2839812040328979,0.092680737376213,2222.93017578125
ITA,Italy,2006,8.74720287322998,48.26064300537109,36.565059661865234,0.0,6.427093982696533,4.461962699890137,0.0042214603163301,0.3583416640758514,0.1033880561590194,2221.86376953125
ITA,Italy,2007,8.744659423828125,47.56260681152344,37.51974487304688,0.0,6.172990322113037,4.0199503898620605,0.0047776345163583,0.4941788911819458,0.0956283658742904,2175.280029296875
ITA,Italy,2008,8.567933082580566,45.9195556640625,37.70968627929688,0.0,7.802824020385742,5.122228145599365,0.0237510539591312,0.5982065796852112,0.3845294415950775,2150.093994140625
ITA,Italy,2009,7.237457275390625,45.23796844482422,37.39794921875,0.0,10.12662410736084,6.490062236785889,0.0894169881939888,0.8641881942749023,0.6545623540878296,1994.809814453125
ITA,Italy,2010,7.744354248046875,42.79032897949219,38.54458236694336,0.0,10.920738220214844,6.48256778717041,0.2416775226593017,1.1573306322097778,0.7844349145889282,2062.27001953125
ITA,Italy,2011,8.863869667053223,42.322296142578125,36.90142440795898,0.0,11.912408828735352,5.902573585510254,1.3906205892562866,1.2696270942687988,0.7878835201263428,2020.390869140625
ITA,Italy,2012,9.372418403625488,40.52960586547852,36.59889602661133,0.0,13.499079704284668,5.535502433776856,2.493349075317383,1.7722992897033691,0.8002601265907288,1959.9749755859373
ITA,Italy,2013,8.509130477905273,38.4515380859375,36.07952499389648,0.0,16.95980453491211,7.296508312225342,2.9848296642303467,2.059652090072632,0.7756422758102417,1863.062744140625
ITA,Italy,2014,8.513686180114746,40.25051498413086,32.71906280517578,0.0,18.516735076904297,8.265235900878906,3.1491618156433105,2.142834424972534,0.6858225464820862,1816.3160400390625
ITA,Italy,2015,7.848406791687012,40.2901611328125,35.201499938964844,0.0,16.65993309020996,6.309837341308594,3.17895245552063,2.056823253631592,0.7390120029449463,1838.4654541015625
ITA,Italy,2016,6.9643988609313965,39.57575988769531,37.04795455932617,0.0,16.41188621520996,5.847578525543213,3.046206474304199,2.437690019607544,0.658722460269928,1834.5379638671875
ITA,Italy,2017,6.052009105682373,39.31317901611328,38.960086822509766,0.0,15.674721717834473,4.925711631774902,3.317174196243286,2.4142134189605717,0.666754961013794,1847.6258544921875
ITA,Italy,2018,5.519299983978272,39.9672737121582,37.45420455932617,0.0,17.059223175048828,6.572346687316895,3.049446821212769,2.384819269180298,0.7813600301742554,1859.7816162109373
ITA,Italy,2019,4.215760707855225,39.640995025634766,38.73100280761719,0.0,17.412242889404297,6.277869701385498,3.20809006690979,2.7358736991882324,0.8070335388183594,1839.95263671875
ITA,Italy,2020,3.5647573471069336,36.085479736328125,40.95035171508789,0.0,19.3994140625,7.122127532958984,3.729210138320923,2.8052022457122803,0.8871467113494873,1663.422607421875
ITA,Italy,2021,3.670632123947144,37.50605010986328,40.80937194824219,0.0,18.013944625854492,6.303709506988525,3.477524518966675,2.9064738750457764,0.9237140417099,1785.1416015625
ITA,Italy,2022,4.9485039710998535,41.76608657836914,37.33431243896485,0.0,15.951094627380373,3.9953453540802,3.956500291824341,2.883391857147217,0.9191195368766784,1755.46484375
ITA,Italy,2023,3.2133572101593018,42.8072624206543,35.12554931640625,0.0,18.85383033752441,5.924169540405273,4.490372180938721,3.4565560817718506,0.9157103896141052,1680.6544189453125
ITA,Italy,2024,1.6610115766525269,42.37471008300781,35.0337028503418,0.0,20.930578231811523,8.006745338439941,5.249471187591553,3.236557483673096,0.8051737546920776,1696.287353515625
JPN,Japan,1965,31.158395767211918,56.21174621582031,1.0043708086013794,0.0038193997461348,11.62166976928711,11.62166976928711,0.0,0.0,0.0,1831.837158203125
JPN,Japan,1966,29.24378204345703,59.09408950805664,0.9076610803604126,0.0785724446177482,10.675895690917969,10.675895690917969,0.0,0.0,0.0,2078.875
JPN,Japan,1967,28.5886344909668,62.291988372802734,0.8356812000274658,0.0753182992339134,8.208377838134766,8.208377838134766,0.0,0.0,0.0,2332.10693359375
JPN,Japan,1968,26.69947052001953,64.37966918945312,0.8252930045127869,0.1134557723999023,7.982112884521484,7.982112884521484,0.0,0.0,0.0,2569.28759765625
JPN,Japan,1969,24.44492721557617,67.65348815917969,0.7821739912033081,0.1007850915193557,7.01862907409668,7.01862907409668,0.0,0.0,0.0,2995.711181640625
JPN,Japan,1970,20.62528610229492,71.77870178222656,1.0490680932998655,0.3737075328826904,6.173234462738037,6.150959968566895,0.0,0.0,0.0,3418.785400390625
JPN,Japan,1971,17.88057518005371,73.84246826171875,1.0740063190460205,0.6239045858383179,6.579042911529541,6.55839729309082,0.0,0.0,0.0,3581.750732421875
JPN,Japan,1972,16.315021514892578,75.7826156616211,1.0032387971878052,0.6894785165786743,6.209646224975586,6.189306259155273,0.0,0.0,0.0,3835.05712890625
JPN,Japan,1973,15.697955131530762,77.9503402709961,1.270476460456848,0.6424773335456848,4.438749313354492,4.419836521148682,0.0,0.0,0.0,4209.3359375
JPN,Japan,1974,16.80756378173828,74.57090759277344,1.7538833618164062,1.3169702291488647,5.550675868988037,5.527544498443604,0.0,0.0,0.0,4170.8544921875
JPN,Japan,1975,15.88005542755127,74.64093017578125,2.121760606765747,1.6965527534484863,5.66070032119751,5.631947040557861,0.0,0.0,0.0,4130.0732421875
JPN,Japan,1976,14.899221420288086,75.00979614257812,2.440513849258423,2.2079508304595947,5.442518711090088,5.415728569030762,0.0,0.0,0.0,4304.3193359375
JPN,Japan,1977,14.113853454589844,76.04804229736328,2.9926483631134038,2.059540271759033,4.785914897918701,4.74685001373291,0.0,0.0,0.0,4284.7802734375
JPN,Japan,1978,12.512195587158203,75.07805633544922,4.111888885498047,3.7774713039398193,4.520386695861816,4.461087703704834,0.0,0.0,0.0,4377.46240234375
JPN,Japan,1979,13.125545501708984,72.55004119873047,4.792211532592773,4.403663635253906,5.128538608551025,5.051141262054443,0.0,0.0,0.0,4458.6640625
JPN,Japan,1980,15.826142311096191,67.11271667480469,5.885989665985107,5.362629890441895,5.812520503997803,5.732795238494873,0.0,0.0,0.0,4298.5576171875
JPN,Japan,1981,18.031492233276367,64.31582641601562,5.993564128875732,5.794830322265625,5.864286422729492,5.779918193817139,0.0,0.0,0.0,4230.3076171875
