ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous
5350452.06,5350452.06,51.8,7.4,14.8,4.5,4.7,2.2,1.9,5.8,6.5,1.0,0.0,47.7,0.4
5350452.07,5350452.07,20.1,2.7,2.5,2.0,1.3,0.7,1.9,1.5,4.6,0.0,0.8,77.6,2.3
5350455.00,5350455.00,16.3,4.4,3.6,2.0,0.8,0.9,0.8,0.3,1.6,0.0,0.3,81.9,1.8
5350456.01,5350456.01,42.7,6.1,18.5,3.2,1.4,1.5,2.2,1.4,5.1,1.2,0.1,56.3,0.9
5350456.02,5350456.02,34.7,5.0,12.7,3.2,1.2,0.4,1.6,1.1,6.3,0.7,0.3,64.0,1.3
5350456.03,5350456.03,9.8,0.5,2.0,2.4,1.5,0.0,0.9,0.0,0.8,0.0,0.0,88.3,1.9
5350460.01,5350460.01,20.8,5.4,5.9,1.5,0.9,0.6,0.8,0.8,3.7,0.3,0.3,78.5,0.8
5350460.02,5350460.02,19.7,4.4,5.4,2.3,1.0,0.3,1.3,1.0,2.6,0.9,0.0,79.2,1.0
5350461.01,5350461.01,23.2,10.1,3.0,3.7,1.0,1.4,1.1,0.4,1.0,0.2,0.0,76.4,0.6
5350461.02,5350461.02,10.9,3.0,1.6,0.9,0.4,0.3,1.1,0.3,1.2,0.3,0.0,87.9,1.1
5350470.00,5350470.00,3.1,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.5,92.0,4.8
5350471.00,5350471.00,6.9,0.7,1.6,0.7,0.0,0.0,0.0,0.6,2.0,0.0,0.0,88.6,4.5
